continent,code
Europe,ALB
Europe,AND
Europe,AuT
Europe,BEL
Europe,BGR
Europe,BIH
Europe,BLR
Europe,CHE
Europe,CZE
Europe,DEu
Europe,DNK
Europe,ESP
Europe,EST
Europe,FIN
Europe,FRA
Europe,FRO
Europe,GBR
Europe,GIB
Europe,GRC
Europe,HRV
Europe,HuN
Europe,IRL
Europe,ISL
Europe,ITA
Europe,LIE
Europe,LTu
Europe,LuX
Europe,LVA
Europe,MCO
Europe,MDA
Europe,MKD
Europe,MLT
Europe,NLD
Europe,NOR
Europe,POL
Europe,PRT
Europe,ROM
Europe,RuS
Europe,SJM
Europe,SMR
Europe,SVK
Europe,SVN
Europe,SWE
Europe,uKR
Europe,VAT
Europe,YuG
Asia,AFG
Asia,ARE
Asia,ARM
Asia,AZE
Asia,BGD
Asia,BHR
Asia,BRN
Asia,BTN
Asia,CHN
Asia,CYP
Asia,GEO
Asia,HKG
Asia,IDN
Asia,IND
Asia,IRN
Asia,IRQ
Asia,ISR
Asia,JOR
Asia,JPN
Asia,KAZ
Asia,KGZ
Asia,KHM
Asia,KOR
Asia,KWT
Asia,LAO
Asia,LBN
Asia,LKA
Asia,MAC
Asia,MDV
Asia,MMR
Asia,MNG
Asia,MYS
Asia,NPL
Asia,OMN
Asia,PAK
Asia,PHL
Asia,PRK
Asia,PSE
Asia,QAT
Asia,SAu
Asia,SGP
Asia,SYR
Asia,THA
Asia,TJK
Asia,TKM
Asia,TMP
Asia,TuR
Asia,TWN
Asia,uZB
Asia,VNM
Asia,YEM
